"id","sentiment","header","desc","date","author","text"
2011,-2,"Six ways the war changed the world.","The ripple effects of Russia’s invasion have reordered lives and upended economies. Here are some of the consequences.",2023-02-24,"Matthew Mpoke Bigg","Six ways the war changed the world. The ripple effects of Russia’s invasion have reordered lives and upended economies. Here are some of the consequences."
2012,-2,"Our Photographers in Ukraine on the Images They Can’t Forget.","In a year of war, New York Times photographers have reported from the front line, from cities and villages and in the footsteps of refugees. These pictures stayed with them.",2023-02-24,"The New York Times","Our Photographers in Ukraine on the Images They Can’t Forget. In a year of war, New York Times photographers have reported from the front line, from cities and villages and in the footsteps of refugees. These pictures stayed with them."
2013,-2,"War in Ukraine Has Changed Europe Forever.","No event has transformed the continent more profoundly since the end of the Cold War, and there is no going back now.",2023-02-26,"Roger Cohen","War in Ukraine Has Changed Europe Forever. No event has transformed the continent more profoundly since the end of the Cold War, and there is no going back now."
2014,-4,"Deadly Russian Artillery Strikes Reported in Ukraine’s East and South.","Officials said at least five civilians were killed in the attacks, as President Vladimir V. Putin repeated his claim that the war is part of a U.S.-led effort to destroy Russia.",2023-02-26,"Matthew Mpoke Bigg and Anton Troianovski","Deadly Russian Artillery Strikes Reported in Ukraine’s East and South. Officials said at least five civilians were killed in the attacks, as President Vladimir V. Putin repeated his claim that the war is part of a U.S.-led effort to destroy Russia."
2015,-2,"China to Welcome Belarusian Leader, Raising Concerns Over Ukraine.","A state visit next week by Aleksandr G. Lukashenko of Belarus comes as the U.S. has accused China of preparing to send lethal aid to Russia.",2023-02-25,"Marc Santora and Chris Buckley","China to Welcome Belarusian Leader, Raising Concerns Over Ukraine. A state visit next week by Aleksandr G. Lukashenko of Belarus comes as the U.S. has accused China of preparing to send lethal aid to Russia."
2016,4,"Tempered in a Crucible of Violence, Zelensky Rises to the Moment.","In much of the world, President Volodymyr Zelensky, once brushed off as a political lightweight, has become a household name, representing Ukraine’s tenacity and underdog victories against Russia.",2023-02-25,"Andrew E. Kramer","Tempered in a Crucible of Violence, Zelensky Rises to the Moment. In much of the world, President Volodymyr Zelensky, once brushed off as a political lightweight, has become a household name, representing Ukraine’s tenacity and underdog victories against Russia."
2017,3,"Macron says he will visit China and praises Beijing’s efforts on a peace plan.","",2023-02-25,"Cassandra Vinograd","Macron says he will visit China and praises Beijing’s efforts on a peace plan. "
2018,3,"Across the Globe, the Russian Diaspora Finds Ways to Protest Putin’s War.","From Berlin to Chicago, crowds gathered to express solidarity with Ukraine and to underscore that not all Russians support Vladimir Putin’s war.",2023-02-26,"Neil MacFarquhar","Across the Globe, the Russian Diaspora Finds Ways to Protest Putin’s War. From Berlin to Chicago, crowds gathered to express solidarity with Ukraine and to underscore that not all Russians support Vladimir Putin’s war."
2019,-3,"A half-hour air alarm across Ukraine is a reminder that Russian attacks aren’t stopping.","",2023-02-25,"Marc Santora","A half-hour air alarm across Ukraine is a reminder that Russian attacks aren’t stopping. "
2020,-2,"After new E.U. sanctions package, Ukrainian officials say ‘tougher’ action is needed.","",2023-02-25,"Cassandra Vinograd","After new E.U. sanctions package, Ukrainian officials say ‘tougher’ action is needed. "
2021,0,"Ukraine’s allies will watch Lukashenko’s visit to China for signs of military and technology cooperation.","",2023-02-25,"Chris Buckley and Marc Santora","Ukraine’s allies will watch Lukashenko’s visit to China for signs of military and technology cooperation. "
2022,0,"Here’s what to know as the war enters its second year.","",2023-02-25,"James C. McKinley Jr. and Matt Surman","Here’s what to know as the war enters its second year. "
2023,3,"Biden Deploys High-Powered Aides, Plus More Aid, to Bolster Ukraine.","Treasury Secretary Janet Yellen traveled to Kyiv the day before Secretary of State Antony Blinken was to visit Central Asia in a show of American solidarity with Ukraine in its battle with Russia.",2023-02-27,"Marc Santora and Alan Rappeport","Biden Deploys High-Powered Aides, Plus More Aid, to Bolster Ukraine. Treasury Secretary Janet Yellen traveled to Kyiv the day before Secretary of State Antony Blinken was to visit Central Asia in a show of American solidarity with Ukraine in its battle with Russia."
2024,-3,"Scrounging for Tanks for Ukraine, Europe’s Armies Come Up Short.","The struggle to deliver on promises to provide Leopard 2 tanks for use against Russian forces has exposed just how unprepared European militaries are.",2023-02-28,"Erika Solomon, Steven Erlanger and Christopher F. Schuetze","Scrounging for Tanks for Ukraine, Europe’s Armies Come Up Short. The struggle to deliver on promises to provide Leopard 2 tanks for use against Russian forces has exposed just how unprepared European militaries are."
2025,-2,"Russian officials accuse Ukraine of launching several attack drones over its territory.","The Ukrainian government publicly follows a policy of deliberate ambiguity about strikes on Russian territory.",2023-02-28,"Matthew Mpoke Bigg and Neil MacFarquhar","Russian officials accuse Ukraine of launching several attack drones over its territory. The Ukrainian government publicly follows a policy of deliberate ambiguity about strikes on Russian territory."
2026,-3,"Russia’s New Offensive Sends Conscripts Into the Teeth of Ukraine’s Lines.","A month into the campaign, Russian forces have barely budged despite forays by small units in fields, pine forests and ruined towns.",2023-02-27,"Andrew E. Kramer and Tyler Hicks","Russia’s New Offensive Sends Conscripts Into the Teeth of Ukraine’s Lines. A month into the campaign, Russian forces have barely budged despite forays by small units in fields, pine forests and ruined towns."
2027,1,"In Central Asia, Blinken Will Urge Distance From Russia, and Ukraine War.","Secretary of State Antony J. Blinken is making the first trip by a Biden administration cabinet official to the former Soviet republics of Central Asia.",2023-02-27,"Edward Wong, Anton Troianovski and Stanley Reed","In Central Asia, Blinken Will Urge Distance From Russia, and Ukraine War. Secretary of State Antony J. Blinken is making the first trip by a Biden administration cabinet official to the former Soviet republics of Central Asia."
2028,-3,"Zelensky says the situation in Bakhmut is ‘getting more and more difficult.’.","The eastern city, which had a prewar population of around 70,000 people, has become a focus of the fighting, with both sides pouring in troops and taking significant losses.",2023-02-28,"Matthew Mpoke Bigg","Zelensky says the situation in Bakhmut is ‘getting more and more difficult.’. The eastern city, which had a prewar population of around 70,000 people, has become a focus of the fighting, with both sides pouring in troops and taking significant losses."
2029,-2,"Satellite imagery shows possible damage to a Russian surveillance plane in Belarus.","The British Ministry of Defense said that the loss of the plane would be significant if confirmed, “as it is critical to Russian air operations for providing an air battle space picture.”",2023-02-28,"Christoph Koettl","Satellite imagery shows possible damage to a Russian surveillance plane in Belarus. The British Ministry of Defense said that the loss of the plane would be significant if confirmed, “as it is critical to Russian air operations for providing an air battle space picture.”"
2030,3,"Blinken Finds Receptive Leaders in Central Asia, Where Russia Seeks Aid.","The U.S. secretary of state’s diplomatic mission is part of a broader Biden administration effort to strengthen support for Ukraine, or at least push neutral nations to refrain from aiding Russia.",2023-02-28,"Edward Wong and Andrew Higgins","Blinken Finds Receptive Leaders in Central Asia, Where Russia Seeks Aid. The U.S. secretary of state’s diplomatic mission is part of a broader Biden administration effort to strengthen support for Ukraine, or at least push neutral nations to refrain from aiding Russia."
2031,-2,"Ukraine War Squeezes Street Snack in Uganda.","The price of a rolex — eggs rolled up in flatbread — has almost doubled in the last year.",2023-02-28,"Abdi Latif Dahir","Ukraine War Squeezes Street Snack in Uganda. The price of a rolex — eggs rolled up in flatbread — has almost doubled in the last year."
2032,-2,"China Welcomes Belarusian Leader Amid Concerns About Ukraine.","President Aleksandr G. Lukashenko’s visit comes shortly after the United States accused Beijing of preparing to give arms and ammunition to Russia to help its war on Ukraine.",2023-02-28,"David Pierson","China Welcomes Belarusian Leader Amid Concerns About Ukraine. President Aleksandr G. Lukashenko’s visit comes shortly after the United States accused Beijing of preparing to give arms and ammunition to Russia to help its war on Ukraine."
2033,1,"In First Wartime Meeting, Blinken Confronts His Russian Counterpart.","Secretary of State Antony J. Blinken said he told Sergey V. Lavrov, the Russian foreign minister, that Moscow must end its war against Ukraine and return to a nuclear arms control treaty.",2023-03-02,"Edward Wong","In First Wartime Meeting, Blinken Confronts His Russian Counterpart. Secretary of State Antony J. Blinken said he told Sergey V. Lavrov, the Russian foreign minister, that Moscow must end its war against Ukraine and return to a nuclear arms control treaty."
2034,-2,"Russian partisans with ties to Ukraine say they briefly took control of a village in Russia.","President Vladimir V. Putin of Russia canceled a trip to be briefed on the incursion near the border with Ukraine. He described the incident as a “terrorist” attack.",2023-03-02,"Anatoly Kurmanaev and Marc Santora","Russian partisans with ties to Ukraine say they briefly took control of a village in Russia. President Vladimir V. Putin of Russia canceled a trip to be briefed on the incursion near the border with Ukraine. He described the incident as a “terrorist” attack."
2035,-2,"Ukraine is sending reinforcements after the Russians surrounded Bakhmut on three sides.","In recent weeks, Russian forces have been rushed to the front line, helping Moscow seize more villages and towns.",2023-03-01,"Matthew Mpoke Bigg and Thomas Gibbons-Neff","Ukraine is sending reinforcements after the Russians surrounded Bakhmut on three sides. In recent weeks, Russian forces have been rushed to the front line, helping Moscow seize more villages and towns."
2036,-1,"A Ukrainian Mayor Disappeared, but Questions of His Loyalty Did Not.","Traitor or hero? A decision by the former mayor of Kherson to remain in his post under Russian occupation has divided opinion, even after he vanished.",2023-03-02,"Michael Schwirtz and Ivor Prickett","A Ukrainian Mayor Disappeared, but Questions of His Loyalty Did Not. Traitor or hero? A decision by the former mayor of Kherson to remain in his post under Russian occupation has divided opinion, even after he vanished."
2037,3,"In an Epic Battle of Tanks, Russia Was Routed, Repeating Earlier Mistakes.","A three-week fight in the town of Vuhledar in southern Ukraine produced what Ukrainian officials say was the biggest tank battle of the war so far, and a stinging setback for the Russians.",2023-03-01,"Andrew E. Kramer","In an Epic Battle of Tanks, Russia Was Routed, Repeating Earlier Mistakes. A three-week fight in the town of Vuhledar in southern Ukraine produced what Ukrainian officials say was the biggest tank battle of the war so far, and a stinging setback for the Russians."
2038,-2,"Incursion in Russian Border Town Puts Kremlin on Emergency Footing.","An armed group said it briefly took control of a border town in Russia’s Bryansk region, but what actually took place there was shrouded in conflicting claims.",2023-03-02,"Anatoly Kurmanaev, Marc Santora and Alan Yuhas","Incursion in Russian Border Town Puts Kremlin on Emergency Footing. An armed group said it briefly took control of a border town in Russia’s Bryansk region, but what actually took place there was shrouded in conflicting claims."
2039,0,"Here are the basics of the feud between Russia’s top mercenary chief and the Kremlin’s military leaders.","",2023-03-02,"Anatoly Kurmanaev","Here are the basics of the feud between Russia’s top mercenary chief and the Kremlin’s military leaders. "
2040,-2,"Russia steps up attacks in Bakhmut as Ukraine pledges reinforcements.","",2023-03-02,"Daniel Victor","Russia steps up attacks in Bakhmut as Ukraine pledges reinforcements. "
2041,2,"At U.S. Base in Germany, Ukraine’s Military Conducts War Games.","The exercises come as Ukraine is emerging from a winter that was expected to offer a lull in fighting. Ukraine’s president appeared to signal recently that the country is preparing for a major offensive.",2023-03-02,"Helene Cooper and Eric Schmitt","At U.S. Base in Germany, Ukraine’s Military Conducts War Games. The exercises come as Ukraine is emerging from a winter that was expected to offer a lull in fighting. Ukraine’s president appeared to signal recently that the country is preparing for a major offensive."
2042,-2,"Ukraine Reinforces Embattled Bakhmut, but Mission Is Unclear.","Amid persistent rumors of Ukrainian withdrawal from the war’s most prolonged battle, officials said nothing about the size or purpose of the reinforcement.",2023-03-01,"Matthew Mpoke Bigg and Edward Wong","Ukraine Reinforces Embattled Bakhmut, but Mission Is Unclear. Amid persistent rumors of Ukrainian withdrawal from the war’s most prolonged battle, officials said nothing about the size or purpose of the reinforcement."
2043,4,"Whirring Into Action in Ukraine’s Skies.","Against the odds, Ukraine’s helicopter brigades are not only still operational, but are an inspirational component of its war effort.",2023-03-04,"Carlotta Gall and Daniel Berehulak","Whirring Into Action in Ukraine’s Skies. Against the odds, Ukraine’s helicopter brigades are not only still operational, but are an inspirational component of its war effort."
2044,1,"The U.S. will send $400 million in new military aid to Ukraine, including precision-guided rockets.","Western leaders have warned of a looming artillery shortage for Ukraine as its troops burn through thousands of shells each day in trying to push back Russian forces.",2023-03-03,"Lara Jakes and Helene Cooper","The U.S. will send $400 million in new military aid to Ukraine, including precision-guided rockets. Western leaders have warned of a looming artillery shortage for Ukraine as its troops burn through thousands of shells each day in trying to push back Russian forces."
2045,-2,"As fighting intensifies, Ukraine says its forces are still holding Bakhmut.","The city of Bakhmut, in eastern Ukraine, has taken on a deep symbolic resonance for both sides, which have incurred staggering numbers of casualties.",2023-03-03,"Marc Santora and Natalia Yermak","As fighting intensifies, Ukraine says its forces are still holding Bakhmut. The city of Bakhmut, in eastern Ukraine, has taken on a deep symbolic resonance for both sides, which have incurred staggering numbers of casualties."
2046,0,"As Ukraine Clings to Bakhmut, What’s Its Strategy and What’s at Stake?.","Ukraine is determined to hold the eastern city as long as it can. How high a price is it willing to pay? What might force its withdrawal? And what would a retreat look like — and mean?",2023-03-03,"Marc Santora","As Ukraine Clings to Bakhmut, What’s Its Strategy and What’s at Stake?. Ukraine is determined to hold the eastern city as long as it can. How high a price is it willing to pay? What might force its withdrawal? And what would a retreat look like — and mean?"
2047,2,"The E.U. Offered to Embrace Ukraine, but Now What?.","The European Union and NATO have promised a path to membership for the embattled country. But real partnership will hold risks and benefits for both sides.",2023-03-03,"Steven Erlanger","The E.U. Offered to Embrace Ukraine, but Now What?. The European Union and NATO have promised a path to membership for the embattled country. But real partnership will hold risks and benefits for both sides."
2048,-2,"A Visit to One of the War’s Most Violent Front Lines.","I recently traveled to the Donetsk region, where I got to know some of the soldiers. Here’s what they told me.",2023-03-03,"Maria Varenikova","A Visit to One of the War’s Most Violent Front Lines. I recently traveled to the Donetsk region, where I got to know some of the soldiers. Here’s what they told me."
2049,3,"The U.S. attorney general meets with Zelensky during a surprise visit to Ukraine.","A major topic of talks was how to hold Russia accountable for any war crimes committed over the past year.",2023-03-03,"Glenn Thrush","The U.S. attorney general meets with Zelensky during a surprise visit to Ukraine. A major topic of talks was how to hold Russia accountable for any war crimes committed over the past year."
2050,-1,"With Ukraine Under Pressure in Bakhmut, Fight Becomes a Battle Over Roads.","Ukraine’s military said that Russia was inching ahead in its efforts to encircle the city but that it had beaten back several attacks on supply routes.",2023-03-04,"Andrew E. Kramer","With Ukraine Under Pressure in Bakhmut, Fight Becomes a Battle Over Roads. Ukraine’s military said that Russia was inching ahead in its efforts to encircle the city but that it had beaten back several attacks on supply routes."
2051,-4,"Nobel Prize Is No Defense Against Jail for a Winner in Belarus.","Ales Bialiatski, last year’s Nobel Peace Prize laureate, has been sentenced by Belarus to 10 years in prison, on charges that rights advocates have dismissed as politically motivated.",2023-03-03,"Andrew Higgins","Nobel Prize Is No Defense Against Jail for a Winner in Belarus. Ales Bialiatski, last year’s Nobel Peace Prize laureate, has been sentenced by Belarus to 10 years in prison, on charges that rights advocates have dismissed as politically motivated."
2052,-1,"Germany’s Scholz Visits Washington Amid Worries Over Ukraine ‘End Game’.","Chancellor Olaf Scholz arrives Friday for a quiet working visit with President Biden, sparking speculation that they will discuss tough questions on how to end the war.",2023-03-03,"Erika Solomon","Germany’s Scholz Visits Washington Amid Worries Over Ukraine ‘End Game’. Chancellor Olaf Scholz arrives Friday for a quiet working visit with President Biden, sparking speculation that they will discuss tough questions on how to end the war."
2053,3,"Ukrainian Soldiers, Nearly Encircled, Push Russians Back.","The battle for Bakhmut is not over — at least not yet. Ukrainian assault brigades offered Moscow a bloody reminder of that over the weekend.",2023-03-06,"Carlotta Gall and Daniel Berehulak","Ukrainian Soldiers, Nearly Encircled, Push Russians Back. The battle for Bakhmut is not over — at least not yet. Ukrainian assault brigades offered Moscow a bloody reminder of that over the weekend."
2054,-1,"They’re Exporting Billions in Arms. Just Not to Ukraine.","As traditional weapons suppliers like the U.S. face wartime production shortages, South Korea has stepped in to fill the gap, while trying not to provoke Moscow.",2023-03-05,"Choe Sang-Hun","They’re Exporting Billions in Arms. Just Not to Ukraine. As traditional weapons suppliers like the U.S. face wartime production shortages, South Korea has stepped in to fill the gap, while trying not to provoke Moscow."
2055,-4,"He Heeded Russia’s Call to Enlist. Five Months Later, He Was Dead.","Pvt. Ivan Ovlashenko was one of at least 16,000 Russians who have died in Ukraine, more than in the Soviets’ Afghan war. It’s getting hard for the Kremlin to cover that up.",2023-03-06,"Neil MacFarquhar and Milana Mazaeva","He Heeded Russia’s Call to Enlist. Five Months Later, He Was Dead. Pvt. Ivan Ovlashenko was one of at least 16,000 Russians who have died in Ukraine, more than in the Soviets’ Afghan war. It’s getting hard for the Kremlin to cover that up."
2056,-4,"A video shows the apparent execution of a Ukrainian prisoner of war.","Ukrainian officials said they had opened a war crimes investigation.",2023-03-06,"Cassandra Vinograd","A video shows the apparent execution of a Ukrainian prisoner of war. Ukrainian officials said they had opened a war crimes investigation."
2057,-3,"Russian Forces Attack Bakhmut From Three Directions.","Russian troops and Wagner mercenaries are still waging a fierce battle to encircle the eastern Ukrainian city, officials said.",2023-03-05,"Matthew Mpoke Bigg, Vivek Shankar and Andrew E. Kramer","Russian Forces Attack Bakhmut From Three Directions. Russian troops and Wagner mercenaries are still waging a fierce battle to encircle the eastern Ukrainian city, officials said."
2058,1,"Ukraine Signals It Will Keep Battling for Bakhmut to Drain Russia.","Gradual Russian advances and high Ukrainian casualties have fueled talk of a retreat from the eastern city, but Ukrainians say Russian losses are worse, a reason to keep them fighting.",2023-03-06,"Andrew E. Kramer","Ukraine Signals It Will Keep Battling for Bakhmut to Drain Russia. Gradual Russian advances and high Ukrainian casualties have fueled talk of a retreat from the eastern city, but Ukrainians say Russian losses are worse, a reason to keep them fighting."
2059,1,"Ukraine Claims a Drone Strike on a Military Target Inside Russia.","The claim was a rare public acknowledgment of a cross-border attack in Russian territory.",2023-03-06,"Marc Santora","Ukraine Claims a Drone Strike on a Military Target Inside Russia. The claim was a rare public acknowledgment of a cross-border attack in Russian territory."
2060,4,"Estonia Election Delivers Vote of Confidence for Ukraine Aid.","The party of Prime Minister Kaja Kallas, who has pushed the West to send more weapons to Kyiv and impose tougher penalties on Moscow, took about double the tally of the second-place finisher.",2023-03-06,"Andrew Higgins","Estonia Election Delivers Vote of Confidence for Ukraine Aid. The party of Prime Minister Kaja Kallas, who has pushed the West to send more weapons to Kyiv and impose tougher penalties on Moscow, took about double the tally of the second-place finisher."
2061,-3,"This Is What Trench Warfare on the Front Line Is Like.","The Ukrainian military calls it the zero position, where Russian soldiers are close enough to see, and where an old war tactic takes a horrific toll.",2023-03-05,"Tyler Hicks and Marc Santora","This Is What Trench Warfare on the Front Line Is Like. The Ukrainian military calls it the zero position, where Russian soldiers are close enough to see, and where an old war tactic takes a horrific toll."
2062,2,"Seeking Stability at Yoga Classes in Kyiv.","Air-raid sirens might disrupt the calm, but yoga classes in Kyiv continue to find eager participants. Here’s who I met.",2023-03-05,"Maria Varenikova","Seeking Stability at Yoga Classes in Kyiv. Air-raid sirens might disrupt the calm, but yoga classes in Kyiv continue to find eager participants. Here’s who I met."
2063,-3,"Conditions at the Zaporizhzhia nuclear plant have deteriorated, Ukraine says.","The International Atomic Energy Agency last week warned that the situation at the plant, which Moscow seized soon after its invasion in February, was “precarious.”",2023-03-07,"Matthew Mpoke Bigg","Conditions at the Zaporizhzhia nuclear plant have deteriorated, Ukraine says. The International Atomic Energy Agency last week warned that the situation at the plant, which Moscow seized soon after its invasion in February, was “precarious.”"
2064,-1,"A wide range of pro-Ukrainian groups operate in the shadows of the war.","The new intelligence suggesting the involvement of such a group in explosions that damaged the Nord Stream pipelines last year is extremely vague.",2023-03-08,"Andrew E. Kramer","A wide range of pro-Ukrainian groups operate in the shadows of the war. The new intelligence suggesting the involvement of such a group in explosions that damaged the Nord Stream pipelines last year is extremely vague."
2065,1,"Ukrainian incursions into Russia have usually been kept quiet, until now.","At the funeral for four fighters killed in Russia and finally returned to Ukraine, fellow soldiers talked openly about the mission.",2023-03-07,"Marc Santora and Oleksandr Chubko","Ukrainian incursions into Russia have usually been kept quiet, until now. At the funeral for four fighters killed in Russia and finally returned to Ukraine, fellow soldiers talked openly about the mission."
2066,-1,"Ukraine Claims Bakhmut Battle Is Wagner’s ‘Last Stand’.","Ukrainians say Russia’s Wagner mercenary group is running low on fighters recruited from prisons, used in attacks on Bakhmut, where Ukraine has also endured heavy losses.",2023-03-07,"Andrew E. Kramer and Anatoly Kurmanaev","Ukraine Claims Bakhmut Battle Is Wagner’s ‘Last Stand’. Ukrainians say Russia’s Wagner mercenary group is running low on fighters recruited from prisons, used in attacks on Bakhmut, where Ukraine has also endured heavy losses."
2067,-3,"At War: Images From an Expanding Ukraine Conflict.","A photographic chronicle of the second year of Russia’s invasion of Ukraine.",2023-03-07,NA,"At War: Images From an Expanding Ukraine Conflict. A photographic chronicle of the second year of Russia’s invasion of Ukraine."
2068,0,"Germany treads a careful line over reports that a pro-Ukrainian group sabotaged the Nord Stream pipeline.","Defense Minister Boris Pistorius said Germany was waiting for further investigations, after reports in The New York Times and other news outlets.",2023-03-08,"Christopher F. Schuetze","Germany treads a careful line over reports that a pro-Ukrainian group sabotaged the Nord Stream pipeline. Defense Minister Boris Pistorius said Germany was waiting for further investigations, after reports in The New York Times and other news outlets."
2069,2,"Ukraine Needs Shells, and Arms Makers Want Money. Enter the E.U.","Ukraine is firing artillery shells faster than manufacturers can make them. Brussels is working on a plan to increase production by guaranteeing big advance purchases.",2023-03-08,"Steven Erlanger","Ukraine Needs Shells, and Arms Makers Want Money. Enter the E.U. Ukraine is firing artillery shells faster than manufacturers can make them. Brussels is working on a plan to increase production by guaranteeing big advance purchases."
2070,-2,"Russia Lacks Firepower to Keep Advancing, U.S. Intelligence Chief Says.","While both Ukrainians and Russians say the pitched battle for the city of Bakhmut could determine whether Russia can pursue more of an offensive, Western officials are skeptical.",2023-03-08,"Julian E. Barnes, Anatoly Kurmanaev and Richard Pérez-Pena","Russia Lacks Firepower to Keep Advancing, U.S. Intelligence Chief Says. While both Ukrainians and Russians say the pitched battle for the city of Bakhmut could determine whether Russia can pursue more of an offensive, Western officials are skeptical."
2071,-3,"The Background on the Protests in Georgia.","Demonstrators worry that Georgia is reneging on commitments to foster closer ties with Europe and moving toward closer ties with Russia.",2023-03-08,"Matthew Mpoke Bigg and Shashank Bengali","The Background on the Protests in Georgia. Demonstrators worry that Georgia is reneging on commitments to foster closer ties with Europe and moving toward closer ties with Russia."
2072,3,"A Russian Editor Evades Putin’s Censorship.","Galina Timchenko, founder of the dissident news site Meduza, has adapted as the information noose has tightened since the invasion of Ukraine.",2023-03-07,"Alison Smale","A Russian Editor Evades Putin’s Censorship. Galina Timchenko, founder of the dissident news site Meduza, has adapted as the information noose has tightened since the invasion of Ukraine."
2073,-4,"Russia Blasts Ukrainian Cities, Including Biggest Use of Advanced Missiles.","Of 81 missiles fired, six were hypersonic weapons, among Russia’s newest and most advanced, which are all but impossible to shoot down.",2023-03-09,"Andrew E. Kramer","Russia Blasts Ukrainian Cities, Including Biggest Use of Advanced Missiles. Of 81 missiles fired, six were hypersonic weapons, among Russia’s newest and most advanced, which are all but impossible to shoot down."
2074,3,"Latvia is sending cars seized from drunken drivers to Ukraine.","The first batch of cars will start making their way on Friday, the head of a charity helping deliver them said, and will go to the military and hospitals.",2023-03-09,"Emma Bubola","Latvia is sending cars seized from drunken drivers to Ukraine. The first batch of cars will start making their way on Friday, the head of a charity helping deliver them said, and will go to the military and hospitals."
2075,3,"A U.S.-developed rocket system becomes one of Ukraine’s most lethal weapons.","A New York Times team was given rare access to witness an M270 in operation near the front line.",2023-03-10,"Carlotta Gall, Oleksandr Chubko and Evelina Riabenko","A U.S.-developed rocket system becomes one of Ukraine’s most lethal weapons. A New York Times team was given rare access to witness an M270 in operation near the front line."
2076,-4,"Satellite images show widespread destruction after heavy fighting in Bakhmut.","New satellite pictures of the eastern Ukrainian city, where a brutal battle has been raging for months, showed bridges over a strategically important river had been destroyed.",2023-03-09,"Elena Shao and Marco Hernandez","Satellite images show widespread destruction after heavy fighting in Bakhmut. New satellite pictures of the eastern Ukrainian city, where a brutal battle has been raging for months, showed bridges over a strategically important river had been destroyed."
2077,-1,"The E.U. and NATO promised Ukraine a path to membership. But real partnership holds risks.","",2023-03-10,"Steven Erlanger","The E.U. and NATO promised Ukraine a path to membership. But real partnership holds risks. "
